name,rank,percentage
smith,1,0.016011353863415
johnson,2,0.010047858967137
williams,3,0.009703169259089
jones,4,0.009378386646496
brown,5,0.008972545860696
garcia,6,0.007795112654088
kumar,7,0.007717189023536
singh,8,0.007277638156205
rodriguez,9,0.007170678762115
martinez,10,0.006359822070161
lee,11,0.006130230568709
miller,12,0.005927530143714
gonzalez,13,0.005782901245794
taylor,14,0.005781581438360
davis,15,0.005663898608873
wilson,16,0.005624304385869
lopez,17,0.005598898092774
hernandez,18,0.005561998476612
martin,19,0.005275875223426
thomas,20,0.005191132587800
sharma,21,0.004806683680818
anderson,22,0.004723205860649
perez,23,0.004440327134070
thompson,24,0.004343431271660
sanchez,25,0.004243235890667
moore,26,0.004165917171855
nguyen,27,0.004141500734335
white,28,0.004133031969970
jackson,29,0.003930386536952
harris,30,0.003712563318449
wang,31,0.003655041711139
patel,32,0.003583827101707
walker,33,0.003529165077169
robinson,34,0.003477912555169
clark,35,0.003457565523902
silva,36,0.003408567672934
chen,37,0.003267733221384
lewis,38,0.003254810106931
ramirez,39,0.003202677713308
wright,40,0.003142076555320
hall,41,0.003119144901163
young,42,0.003096213247006
king,43,0.003028793083945
scott,44,0.003002781879110
allen,45,0.002860517636174
gupta,46,0.002830986944850
roberts,47,0.002790072914411
green,48,0.002774840136950
zhang,49,0.002766811308396
torres,50,0.002733431178724
campbell,51,0.002717758465451
evans,52,0.002709729636897
hill,53,0.002703625527517
gomez,54,0.002676019555367
baker,55,0.002618332972128
santos,56,0.002551022793019
adams,57,0.002483052710194
mitchell,58,0.002482667766360
murphy,59,0.002478488376153
diaz,60,0.002428995597397
edwards,61,0.002371638966017
liu,62,0.002347772448261
khan,63,0.002341448370975
turner,64,0.002313952382778
kelly,65,0.002304493762838
flores,66,0.002283321851925
phillips,67,0.002190220435887
rivera,68,0.002143972183739
carter,69,0.002142762360258
stewart,70,0.002115431347989
nelson,71,0.002110812021972
morris,72,0.002093049613596
cruz,73,0.002076881972536
parker,74,0.002076002100913
collins,75,0.002051420687465
cooper,76,0.001978776286646
wood,77,0.001954579817032
hughes,78,0.001925104117684
morgan,79,0.001912730922995
ward,80,0.001890954100342
fernandez,81,0.001885564886655
bell,82,0.001871541932674
watson,83,0.001862468256569
cook,84,0.001836512043710
gutierrez,85,0.001835907131970
reyes,86,0.001832497629433
james,87,0.001827603343534
morales,88,0.001813855349435
ramos,89,0.001773656214690
wong,90,0.001716079615404
rogers,91,0.001675165584965
bailey,92,0.001668566547798
kim,93,0.001665157045261
yang,94,0.001663452293993
bennett,95,0.001641235535529
tran,96,0.001637221121252
gray,97,0.001634911458244
ortiz,98,0.001628202437123
jimenez,99,0.001617643977655
alvarez,100,0.001615499290576
ruiz,101,0.001612969659662
jain,102,0.001597791874177
richardson,103,0.001580964329400
cox,104,0.001511619447165
chan,105,0.001470210488939
ross,106,0.001439250006228
price,107,0.001424622140507
murray,108,0.001416373344047
castillo,109,0.001408454499446
shah,110,0.001400040727058
russell,111,0.001389977195377
moreno,112,0.001389262299684
graham,113,0.001369520180158
huang,114,0.001367815428890
howard,115,0.001366770581338
harrison,116,0.001333170483761
castro,117,0.001318212666181
foster,118,0.001312878444471
mendoza,119,0.001290716677983
romero,120,0.001288901942762
butler,121,0.001268829871378
reed,122,0.001257611508193
brooks,123,0.001257006596453
ryan,124,0.001254861909373
sullivan,125,0.001244303449905
davies,126,0.001225716161883
fisher,127,0.001224781298285
marshall,128,0.001218017285188
powell,129,0.001215487654274
kaur,130,0.001209383544894
hamilton,131,0.001204104315160
ellis,132,0.001195965502653
ali,133,0.001194865663125
henderson,134,0.001181942548672
kennedy,135,0.001181007685074
barnes,136,0.001177378214632
ahmed,137,0.001176388359056
schmidt,138,0.001158735934633
peterson,139,0.001158131022893
gibson,140,0.001154116608616
oliveira,141,0.001154006624663
shaw,142,0.001152301873395
clarke,143,0.001148782386906
long,144,0.001133769577350
mcdonald,145,0.001128875291451
perry,146,0.001127335516112
simpson,147,0.001124200973457
munoz,148,0.001111387842957
reynolds,149,0.001098849672339
alexander,150,0.001095660137708
jenkins,151,0.001094230346321
lin,152,0.001093460458652
chavez,153,0.001086201517768
stevens,154,0.001080317376293
wallace,155,0.001072508515645
medina,156,0.001071683635999
herrera,157,0.001064204727209
west,158,0.001063324855587
vargas,159,0.001058980489452
jordan,160,0.001050126781252
hayes,161,0.001045232495353
cole,162,0.001040118241548
coleman,163,0.001034124116121
hansen,164,0.001015096892288
patil,165,0.001014436988571
robertson,166,0.000986391080609
walsh,167,0.000974402829755
aguilar,168,0.000962634546806
mason,169,0.000959390020199
sanders,170,0.000952241063268
myers,171,0.000950371336070
webb,172,0.000950151368165
griffin,173,0.000949051528637
hunter,174,0.000944322218667
johnston,175,0.000943772298903
burns,176,0.000939812876602
ford,177,0.000936513358018
mills,178,0.000929144433181
patterson,179,0.000926009890527
yadav,180,0.000923425267636
grant,181,0.000915616406988
hunt,182,0.000915176471177
palmer,183,0.000913581703861
tan,184,0.000910392169231
fox,185,0.000909622281561
rose,186,0.000906762698788
gordon,187,0.000898788862211
meyer,188,0.000895874287462
reid,189,0.000876297143865
richards,190,0.000871732809824
holmes,191,0.000867883371477
mishra,192,0.000862824109648
woods,193,0.000861229342333
pereira,194,0.000858314767584
simmons,195,0.000856939968174
george,196,0.000855070240976
dixon,197,0.000848636179738
matthews,198,0.000834888185639
obrien,199,0.000832853482513
rojas,200,0.000831423691126
verma,201,0.000829828923811
elliott,202,0.000828839068236
wells,203,0.000822734958856
vasquez,204,0.000822514990950
wagner,205,0.000818225616791
guzman,206,0.000817565713075
mueller,207,0.000812561443223
vazquez,208,0.000809041956733
henry,209,0.000808712004875
black,210,0.000807612165347
chapman,211,0.000805467478268
bryant,212,0.000801783015849
knight,213,0.000800353224463
armstrong,214,0.000799968280628
ferguson,215,0.000798318521336
andrews,216,0.000788804909420
gonzales,217,0.000784845487119
porter,218,0.000782975759922
salazar,219,0.000773572131958
dunn,220,0.000768292902224
ferreira,221,0.000764498455853
peters,222,0.000761913832962
hart,223,0.000758669306355
crawford,224,0.000756854571134
mendez,225,0.000756084683464
freeman,226,0.000753994988361
payne,227,0.000750805453730
burke,228,0.000750695469777
bradley,229,0.000748385806769
schneider,230,0.000746626063524
lawrence,231,0.000743876464704
stone,232,0.000741731777625
carroll,233,0.000738872194852
costa,234,0.000733702949071
delgado,235,0.000723309465532
harvey,236,0.000722979513674
chang,237,0.000710991262820
joseph,238,0.000710276367127
soto,239,0.000709286511552
spencer,240,0.000709121535622
lynch,241,0.000707306800401
morrison,242,0.000697463236626
weber,243,0.000696033445240
zhou,244,0.000692678934680
jensen,245,0.000684540122173
tucker,246,0.000681900507306
cunningham,247,0.000681515563472
warren,248,0.000679700828251
gardner,249,0.000672441887366
owens,250,0.000671781983650
pham,251,0.000668152513208
rodrigues,252,0.000665567890317
arnold,253,0.000665347922411
riley,254,0.000662653315568
berry,255,0.000660178676630
lane,256,0.000659243813031
hudson,257,0.000658638901291
pena,258,0.000654129559227
boyd,259,0.000653469655510
guerrero,260,0.000652259832029
ortega,261,0.000651434952383
souza,262,0.000640766508963
joshi,263,0.000639226733623
carr,264,0.000639116749671
stephens,265,0.000636697102709
mccarthy,266,0.000632792672385
hawkins,267,0.000630153057518
lim,268,0.000629823105660
campos,269,0.000629163201943
agarwal,270,0.000625973667312
duncan,271,0.000624873827784
reddy,272,0.000622674148728
hicks,273,0.000616570039348
contreras,274,0.000616130103537
vega,275,0.000614700312151
miranda,276,0.000604746764423
pearson,277,0.000600732350146
davidson,278,0.000600622366194
barrett,279,0.000599082590855
day,280,0.000596772927846
park,281,0.000595783072271
rios,282,0.000587479283835
williamson,283,0.000585774532567
oliver,284,0.000583079925723
zhao,285,0.000581375174455
dean,286,0.000579285479352
navarro,287,0.000579065511447
rice,288,0.000578185639824
alvarado,289,0.000575546024957
nunez,290,0.000574446185429
pandey,291,0.000573951257642
dominguez,292,0.000569661883483
burton,293,0.000564877581536
newman,294,0.000562897870386
olson,295,0.000560478223425
willis,296,0.000559103424015
lucas,297,0.000558278544369
doyle,298,0.000553604226375
bishop,299,0.000551679507202
paul,300,0.000551514531272
gilbert,301,0.000551129587438
wheeler,302,0.000550524675697
daniels,303,0.000549369844193
harper,304,0.000547335141066
quinn,305,0.000547225157113
molina,306,0.000545300437940
washington,307,0.000543815654577
austin,308,0.000542990774931
francis,309,0.000541450999592
barker,310,0.000541121047734
lawson,311,0.000540406152040
santiago,312,0.000540021208206
may,313,0.000537381593339
tang,314,0.000537161625433
nichols,315,0.000537161625433
lima,316,0.000535951801952
oconnor,317,0.000535236906259
fletcher,318,0.000534302042660
sun,319,0.000532817259298
fischer,320,0.000531167500006
zhu,321,0.000528857836997
lam,322,0.000527318061658
jacobs,323,0.000522258799830
watkins,324,0.000516594626261
estrada,325,0.000516099698473
srivastava,326,0.000515164834875
dawson,327,0.000512910163843
sandoval,328,0.000510215556999
lambert,329,0.000508180853873
douglas,330,0.000507465958179
snyder,331,0.000507136006321
becker,332,0.000501361848799
maldonado,333,0.000501196872870
holland,334,0.000500481977177
ray,335,0.000499767081484
marquez,336,0.000498117322192
lowe,337,0.000493827948033
cheng,338,0.000493113052340
garza,339,0.000491793244907
gallagher,340,0.000491518285025
gill,341,0.000490693405379
kelley,342,0.000487833822606
arora,343,0.000485194207739
olsen,344,0.000480959825557
walters,345,0.000479200082312
acosta,346,0.000476945411280
roy,347,0.000475460627917
curtis,348,0.000475020692106
perkins,349,0.000474415780366
carpenter,350,0.000472985988979
weaver,351,0.000472876005026
saunders,352,0.000467651767269
das,353,0.000467596775293
watts,354,0.000463417385086
hanson,355,0.000462262553582
leon,356,0.000461217706031
hoffman,357,0.000460832762196
franklin,358,0.000460832762196
craig,359,0.000459677930692
